[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=849, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=858, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=854, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=850, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=846, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=842, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=838, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=834, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=830, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=826, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=822, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=818, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=814, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=810, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=806, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=802, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=798, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=794, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=790, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=845, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=841, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=837, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=833, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=829, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=825, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=821, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=817, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=813, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=809, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=805, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=801, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=797, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=793, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=789, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=785, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=781, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=777, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=773, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=769, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=765, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=761, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=757, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=753, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=749, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=745, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=741, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=737, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=733, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=729, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=725, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=721, errno=104
